Tech_ID,Depot_Assigned,Years of Exp,SkillSet,Rate per hour
T5120,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5121,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5122,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",1,Equipment installation,Rs.500
T5123,"HCCC+74Q, Kanakagiri, Karnataka 583283, India",2,Equipment installation,Rs.500
T5124,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5125,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",3,Equipment installation,Rs.500
T5126,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5127,"Yelburga, Koppal SH-129, Chikkahesarur Mundaragi Road, Koppal, Karnataka 583236, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5128,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5129,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5130,"W7XV+8GQ, Ramdurg, Karnataka 591123, India",2,Equipment installation,Rs.500
T5131,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5132,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5133,"Krishna Rajendra Rd, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560037",3,Equipment installation,Rs.500
T5134,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5135,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5136,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585428",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5137,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",2,Equipment installation,Rs.500
T5138,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5139,"VW7X+P7W, Basavakalyan,, Jai Shankar Colony, Basavakalyan, Karnataka 585327, India",2,Equipment installation,Rs.500
T5140,"JM35+VJP, Karatagi, Karnataka 583229, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5141,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",2,Equipment installation,Rs.500
T5142,"HHC8+7R5, Aland, Karnataka 585302, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5143,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5144,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",1,Equipment installation,Rs.500
T5145,"Mini Vidana Soundha, Ballari - Hubballi Rd, New Hubli, Hubballi, Karnataka 580020, India",3,Equipment installation,Rs.500
T5146,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",2,Equipment installation,Rs.500
T5147,"HCCC+74Q, Kanakagiri, Karnataka 583283, India",4,Equipment installation,Rs.500
T5148,"3HXV+35F, NES Office Rd, Suggappa Layout, East Colony, Yelahanka New Town, Bengaluru, Karnataka 560064, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5149,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585134",1,Equipment installation,Rs.500
T5150,"WMV4+7WC, Maski, Karnataka 584124, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5151,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5152,"WMHG+X59, Bellandur Main Rd, Bellandur, Bengaluru, Karnataka 560156",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5153,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585423",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5154,"8VWV+3FQ, Siddapur Main Rd, Halgeri, Siddapur, Karnataka 581355, India",1,Equipment installation,Rs.500
T5155,"877Q+8F9, Mysore - Madikeri Rd, Hunsur, Karnataka 571105, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5156,"F234+6PQ, Railway Station Rd, UB Hills, Malmaddi, Dharwad, Karnataka 580001, India",1,Equipment installation,Rs.500
T5157,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",4,Equipment installation,Rs.500
T5158,"4WV8+RWV, Fort Main Rd, Narayanappa Compound, Fort, Ballari, Karnataka 583104, India",1,Equipment installation,Rs.500
T5159,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5160,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5161,"P79G+CCC, Ijoor, Ramanagara, Karnataka 562159, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5162,"Q53V+J25, SH 30, Kushtagi, Karnataka 583277, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5163,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",3,Equipment installation,Rs.500
T5164,"X9J3+XMP, SH 6, Savanur Rural, Karnataka 581118, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5165,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5166,"MFHV+PJF, kakol Road,, Byadagi, Karnataka, India",4,Equipment installation,Rs.500
T5167,"HRWX+RQV, Somwarpet, Karnataka 571236, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5168,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5169,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5170,"Pampa Nagar, Koppal, SH-130, Kanakagiri Gangavathi Munirabad Road, Gangavathi, Gangavathi, Karnataka 583227, India",3,Equipment installation,Rs.500
T5171,"RPJ5+46G, Near Shivaji Chowk, Shahu Nagar, Vijayapura, Karnataka 586108",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5172,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5173,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",3,Equipment installation,Rs.500
T5174,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5175,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",3,Equipment installation,Rs.500
T5176,"Q42P+HFQ, Yadgir-Bidar Rd, Yadgiri, Karnataka 585201, India",1,Equipment installation,Rs.500
T5177,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5178,"6V6M+4MV, Arabhavi - Challakere Rd, Laxmi chalapati Nagar, Mundargi, Karnataka 582118, India",1,Equipment installation,Rs.500
T5179,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",1,Equipment installation,Rs.500
T5180,"HXQR+Q7, Kamalapur, Karnataka 585313, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5181,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585261",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5182,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5183,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5184,"HQWR+WH7, Kittur, Karnataka 591115, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5185,"VKG Nagar, Gulbarga, SH-22, Sindagi Kalaburagi Road, Afzalpur, Afzalpur, Karnataka 585301, India",1,Equipment installation,Rs.500
T5186,"Block 3, Electronics City Phase 1, Electronic City, B-103, 2nd Cross Road, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560201",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5187,"Mini Vidana Soundha, Ballari - Hubballi Rd, New Hubli, Hubballi, Karnataka 580020, India",3,Equipment installation,Rs.500
T5188,"Indira Nagar Rd, Indira Nagar, Chikodi, Karnataka 591201, India",3,Equipment installation,Rs.500
T5189,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",4,Equipment installation,Rs.500
T5190,"WMHG+X59, Bellandur Main Rd, Bellandur, Bengaluru, Karnataka 560180",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5191,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",4,Equipment installation,Rs.500
T5192,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",4,Equipment installation,Rs.500
T5193,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585267",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5194,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5195,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",1,Equipment installation,Rs.500
T5196,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",3,Equipment installation,Rs.500
T5197,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",4,Equipment installation,Rs.500
T5198,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5199,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",1,Equipment installation,Rs.500
T5200,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5201,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",3,Equipment installation,Rs.500
T5202,"WMHG+X59, Bellandur Main Rd, Bellandur, Bengaluru, Karnataka 560126",1,Equipment installation,Rs.500
T5203,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5204,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",1,Equipment installation,Rs.500
T5205,"7C26+6VG, Aurad Main Rd, Aurad, Karnataka 585326, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5206,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",3,Equipment installation,Rs.500
T5207,"88, Borewell Rd, Palm Meadows, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560169",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5208,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5209,"8PVQ+4JV, Circuit House Rd, Bananje, Udupi, Karnataka 576101, India",3,Equipment installation,Rs.500
T5210,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5211,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5212,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585177",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5213,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",1,Equipment installation,Rs.500
T5214,"VP23+JGF, Jai Bheem Nagar, Indira Nagar, Bhadravathi, Karnataka 577301, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5215,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",3,Equipment installation,Rs.500
T5216,"WXH2+JVW, Chamarajanagara-BR Hills Rd, Bhagirath Nagar, Chamarajnagar, Karnataka 571313, India",3,Equipment installation,Rs.500
T5217,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",4,Equipment installation,Rs.500
T5218,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5219,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5220,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",2,Equipment installation,Rs.500
T5221,"6HPM+Q86, near:police station Shirahatti. dist:, Shirahatti, Karnataka, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5222,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5223,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",4,Equipment installation,Rs.500
T5224,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585153",4,Equipment installation,Rs.500
T5225,"683X+27Q, Androon Quilla, Raichur, Karnataka 584101, India",4,Equipment installation,Rs.500
T5226,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",3,Equipment installation,Rs.500
T5227,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5228,"RV96+FV6, Bailhongal, Karnataka 591102, India",2,Equipment installation,Rs.500
T5229,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",4,Equipment installation,Rs.500
T5230,"X2XR+CW6, Manvi, Karnataka 584123, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5231,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",2,Equipment installation,Rs.500
T5232,"HCCC+74Q, Kanakagiri, Karnataka 583283, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5233,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5234,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585307",2,Equipment installation,Rs.500
T5235,"CJMP+336, Station Rd, Basaveshwara Nagar, Gadag-Betageri, Karnataka 582101, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5236,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5237,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",2,Equipment installation,Rs.500
T5238,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",3,Equipment installation,Rs.500
T5239,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5240,"9563+4P2, Kalgi, Karnataka 585324, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5241,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585368",4,Equipment installation,Rs.500
T5242,"Mini Vidana Soundha, Ballari - Hubballi Rd, New Hubli, Hubballi, Karnataka 580020, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5243,"Public Ground, Laksmi shiva talkies road, traffic police station road, near, Old Office Road, B.T.Patil Nagar, Koppal, Karnataka 583231, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5244,"57HJ+MW7, Main Road, Sedam, Karnataka 585222, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5245,"WMHG+X59, Bellandur Main Rd, Bellandur, Bengaluru, Karnataka 560133",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5246,"F234+6PQ, Railway Station Rd, UB Hills, Malmaddi, Dharwad, Karnataka 580001, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5247,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",2,Equipment installation,Rs.500
T5248,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",1,Equipment installation,Rs.500
T5249,"3QMW+QV2, SH 70, Karnad, Mulki, Karnataka 574154, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5250,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5251,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5252,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",3,Equipment installation,Rs.500
T5253,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585275",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5254,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",2,Equipment installation,Rs.500
T5255,"233X+7WG, BM Rd, Ammeer Mohalla, Hassan, Karnataka 573201, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5256,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",4,Equipment installation,Rs.500
T5257,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",2,Equipment installation,Rs.500
T5258,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5259,"W7XV+8GQ, Ramdurg, Karnataka 591123, India",3,Equipment installation,Rs.500
T5260,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585328",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5261,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5262,"8PVQ+4JV, Circuit House Rd, Bananje, Udupi, Karnataka 576101, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5263,"WM8G+RW4, Badami, Karnataka 587201, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5264,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5265,"W7XV+8GQ, Ramdurg, Karnataka 591123, India",1,Equipment installation,Rs.500
T5266,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",4,Equipment installation,Rs.500
T5267,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",1,Equipment installation,Rs.500
T5268,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",3,Equipment installation,Rs.500
T5269,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5270,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5271,"216, 2nd H Main Rd, East of NGEF Layout, Bennigana Halli, Bengaluru, Karnataka 560071",1,Equipment installation,Rs.500
T5272,"CGF6+6J5, Rattihalli, Karnataka 581120",2,Equipment installation,Rs.500
T5273,"5F9M+F2G, Joida, Karnataka 581186, India",4,Equipment installation,Rs.500
T5274,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5275,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5276,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5277,"6V6M+4MV, Arabhavi - Challakere Rd, Laxmi chalapati Nagar, Mundargi, Karnataka 582118, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5278,"7C26+6VG, Aurad Main Rd, Aurad, Karnataka 585326, India",1,Equipment installation,Rs.500
T5279,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5280,"QQ94+Q6F, Taluk panchayat, Sindhanur, Karnataka 584128, India",4,Equipment installation,Rs.500
T5281,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5282,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",1,Equipment installation,Rs.500
T5283,"PR3R+JF6, Jevargi - Chamarajanagar Rd, Shahapur, Karnataka 585223, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5284,"X2FR+8FJ, TDB Road, Mundgod, Karnataka 581349, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5285,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5286,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5287,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5288,"CCJM+5GV, Unnamed Road, Annigeri, Karnataka 582201, India",4,Equipment installation,Rs.500
T5289,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585549",1,Equipment installation,Rs.500
T5290,"VJWJ+6PR, Jewargi to Yadrami Main Road, Alur, Karnataka 585325, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5291,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",4,Equipment installation,Rs.500
T5292,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5293,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585211",2,Equipment installation,Rs.500
T5294,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",4,Equipment installation,Rs.500
T5295,"4F98+GVG, Laxmeshwar, Karnataka 582116, India",1,Equipment installation,Rs.500
T5296,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585469",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5297,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5298,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5299,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585319",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5300,"Mini Vidana Soundha, Ballari - Hubballi Rd, New Hubli, Hubballi, Karnataka 580020, India",4,Equipment installation,Rs.500
T5301,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",2,Equipment installation,Rs.500
T5302,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5303,"Pampa Nagar, Koppal, SH-130, Kanakagiri Gangavathi Munirabad Road, Gangavathi, Gangavathi, Karnataka 583227, India",4,Equipment installation,Rs.500
T5304,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5305,"JM35+VJP, Karatagi, Karnataka 583229, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5306,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",3,Equipment installation,Rs.500
T5307,"JM35+VJP, Karatagi, Karnataka 583229, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5308,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",1,Equipment installation,Rs.500
T5309,"CJ44+289, Maruthi Nagar, Kampli, Karnataka 583132, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5310,"CCJM+5GV, Unnamed Road, Annigeri, Karnataka 582201, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5311,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585517",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5312,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",1,Equipment installation,Rs.500
T5313,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5314,"CJMP+336, Station Rd, Basaveshwara Nagar, Gadag-Betageri, Karnataka 582101, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5315,"8W7R+Q6G, MG Rd, Gubbi, Karnataka 572216, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T5316,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T5317,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T5318,"Pampa Nagar, Koppal, SH-130, Kanakagiri Gangavathi Munirabad Road, Gangavathi, Gangavathi, Karnataka 583227, India",2,Equipment installation,Rs.500
